2018-03-05 22:16:13,924 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=457e8a24-60f7-469f-8503-324f04cfc2df
2018-03-05 22:16:14,371 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - HTTP Queue performance counters successfully initialized
2018-03-05 22:16:14,378 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - Internal HTTP Queue performance counters successfully created
2018-03-05 22:16:14,386 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - TokenCreator intialized with an expiration of 02:46:40
2018-03-05 22:16:15,584 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Business Logic Queue
2018-03-05 22:16:15,590 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Queue
2018-03-05 22:16:15,594 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes in/sec
2018-03-05 22:16:15,597 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes out/sec
2018-03-05 22:16:15,601 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Processing
2018-03-05 22:16:15,605 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Active
2018-03-05 22:16:15,609 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: In (ms)
2018-03-05 22:16:15,613 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: Out (ms)
2018-03-05 22:16:15,617 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers +/sec
2018-03-05 22:16:15,622 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers (C) +/sec
2018-03-05 22:16:15,627 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Peers
2018-03-05 22:16:15,632 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers +/sec
2018-03-05 22:16:15,636 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers (C) +/sec
2018-03-05 22:16:15,640 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Peers
2018-03-05 22:16:15,654 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.FeedbackControlSystem - Could not initialize Feedback Control System from configuration: Invalid configuration file D:\Project\Test\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\Workload.config. Using default settings... (未能找到文件“D:\Project\Test\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\Workload.config”。)
2018-03-05 22:16:15,665 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Watching for application state file in D:\Project\Test\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\ServerState.txt
2018-03-05 22:16:15,671 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2018-03-05 22:16:15,676 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Initializing master server connection ...
2018-03-05 22:16:15,727 [1] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=457e8a24-60f7-469f-8503-324f04cfc2df
